                        a                        b                        c                        d                   actual
                        1                        1                        1                        1        1.475773161594552
                      343                        7                      2.2                      1.5        1.475773161594552
     -2.2539338614955e+25       -335.8571428571428        1.819763677344444        1.450520833333333        1.475773161594552
  -3.383854504272184e+253        37884356.71143231        1.583474829896161        1.498749660798193        1.475773161594552
                      nan   -5.437255629158596e+22        1.489460974145428        1.451903535132316        1.475773161594552
                      nan    1.607456594557779e+68        1.476022436131861        1.497577066995629        1.475773161594552
                      nan                     -inf        1.475773245776608        1.453192290208959        1.475773161594552
                      nan                     -nan        1.475773161594562         1.49647536370273        1.475773161594552
                      nan                     -nan        1.475773161594552         1.45439611887026        1.475773161594552
                      nan                     -nan        1.475773161594552        1.495438587269419        1.475773161594552
                      nan                     -nan        1.475773161594552        1.455522810019335        1.475773161594552
                      nan                     -nan        1.475773161594552        1.494461512830736        1.475773161594552
                      nan                     -nan        1.475773161594552        1.456579137509121        1.475773161594552
                      nan                     -nan        1.475773161594552        1.493539532940815        1.475773161594552
                      nan                     -nan        1.475773161594552        1.457571031375559        1.475773161594552
                      nan                     -nan        1.475773161594552        1.492668560055911        1.475773161594552
                      nan                     -nan        1.475773161594552        1.458503714681473        1.475773161594552
                      nan                     -nan        1.475773161594552        1.491844947511837        1.475773161594552
                      nan                     -nan        1.475773161594552        1.459381813855774        1.475773161594552
                      nan                     -nan        1.475773161594552        1.491065424986136        1.475773161594552
                      nan                     -nan        1.475773161594552         1.46020944839453        1.475773161594552
                      nan                     -nan        1.475773161594552         1.49032704540826        1.475773161594552
                      nan                     -nan        1.475773161594552        1.460990304339643        1.475773161594552
                      nan                     -nan        1.475773161594552        1.489627140993748        1.475773161594552
                      nan                     -nan        1.475773161594552        1.461727694894639        1.475773161594552
